set,k1,k2,z1,z2,kp1,kp2,lam,mu1,mu2,c1,c2,ee1_m6,ee2_m6,ee1_m19,ee2_m19,arc,kkt1_m19,kkt2_m19
box,1.0286119322919043,0.9287477564303769,0.030176009663902936,-0.05186840783771732,1.0275513145032071,0.9295604148267279,1.022377828432474,0.0,0.0,0.045583238179304,0.044832876745526926,0.00024163810186839108,-7.306771619752794e-06,0.00023980479227003748,-5.801704614394332e-06,6.664234952775523e-06,0.00023980479227003748,5.801704614394332e-06
box,0.9566476002112645,1.156109740801917,-0.08730957006931842,0.03941988629953355,0.9586089446412089,1.150540287735907,0.9611012576868639,0.0,0.0,0.0462930444501568,0.04769126957526721,0.0002612174693061853,0.000792811558232076,0.0003543990107319761,0.0007232710744295989,1.874929050373426e-05,0.0003543990107319761,0.0007232710744295989
box,0.833606137432954,1.133057659061359,0.09187145839637861,-0.08340177824225524,0.8481976542686482,1.1202227240089615,1.0389111755521336,0.0,0.043004222940730925,0.045400791566167394,0.04411940139647913,-0.0007971849610736159,-0.04184723845902494,-0.0008188563720021858,-0.041672745229553554,7.092672208671896e-06,0.0008188563720021858,0.0013411091568462652
box,1.1505936923242814,0.8234272139220777,-0.05244254062538864,-0.1119105705936514,1.1383865150217976,0.8299607778620952,1.0637966172102498,0.014928561270558433,0.0,0.04513291436910355,0.04308731427410949,-0.01490580538348485,-0.0004406957821198043,-0.014865599117944162,-0.0005249719546969178,-2.546941333117763e-05,0.0006156157643834037,0.0005249719546969178
box,0.9801357466597148,1.1185297081149177,-0.08619449312200075,-0.14335318365938882,0.9810116921129723,1.1070288430194786,1.0143213504216895,0.0,0.010870081691921092,0.04567348363323101,0.04518897206532906,-0.0003475661492903237,-0.011163009274194668,-0.00022370110306701996,-0.011231871975543428,-1.2747663820743859e-05,0.00022370110306701996,0.00028497729445831066
box,0.9618207359286113,0.8794052178037022,-0.13095902540188087,0.025706363515792197,0.950621644717213,0.8889881085505503,1.1057065223058795,0.015658511556189424,0.0,0.0446990261697232,0.04145416369063671,-0.014410469218672728,-0.00034033636585140137,-0.01437233853475195,-0.00031714881695432684,-3.6899751016611846e-06,0.0016602390822123558,0.00031714881695432684
box,0.919478453127569,1.0687979511825438,-0.09615505793017166,0.14147619536207917,0.9151586074971443,1.076398398041135,0.9964263476919119,0.0,0.0,0.04587718148598513,0.0460005290663438,-0.0008259198795176337,0.00012042436660397726,-0.0008461427079032857,0.00013386966199524508,1.3806688497515898e-05,0.0008461427079032857,0.00013386966199524508
box,0.9460440672979314,0.8421981118280919,0.041314608492706906,0.13668945698171747,0.9382025873417659,0.8606441964275923,1.0569856196596545,0.0,0.0,0.04520544613646555,0.04336496004953373,-8.204536673961371e-05,0.0007192524405086331,-0.00026094705606494184,0.0006716462401299417,2.2695000731694706e-05,0.00026094705606494184,0.0006716462401299417
box,0.9761508618863136,1.181836197476295,-3.3339619952943433e-05,-0.023926840048295817,0.9848549871122426,1.169870902979527,0.9466699567549576,0.0,0.007932417143900597,0.04646847078923174,0.04841828859404389,-0.00010451682285628205,-0.008532236512216351,-0.00011033910371371913,-0.008586252671686334,-3.7638248610327664e-06,0.00011033910371371913,0.00012558143777541275
box,1.048085380806151,1.1980386020941296,0.1436619759800848,-0.01278555542108925,1.0650864732805678,1.1841802102158276,0.8898095668978558,0.0,0.010755731935539312,0.04719367111431142,0.051512302041515655,-1.9973642211512654e-05,-0.010800963927670826,-1.633898090069863e-05,-0.010808807876480198,-1.0857037569738026e-05,1.633898090069863e-05,0.0015834010775443996
