set,k1,k2,z1,z2,kp1,kp2,lam,mu1,mu2,c1,c2,ee1_m6,ee2_m6,ee1_m19,ee2_m19,arc,kkt1_m19,kkt2_m19
box,0.8251581993819885,1.0903523455103108,-0.1319142762369641,-0.03357065332545034,0.8337117561861315,1.0762742446253968,1.0748565823496223,0.0,0.0,0.045016362490498854,0.04264395820070747,-1.74096862015638e-05,-3.9551147114402774e-05,-1.6167208722772664e-05,-3.787996778681357e-05,3.332833120449875e-06,1.6167208722772664e-05,0.0029409244467621942
box,1.1494090524482927,0.9889201347000046,0.13203901876508328,0.0850934776764391,1.1463366700104722,1.0002917343199849,0.9023507287896263,0.0,0.0,0.04702883126401057,0.05079636742905408,9.026782779564257e-05,0.00010729644535989458,8.751153778763232e-05,0.00010310418530190546,1.213491244527238e-06,8.751153778763232e-05,0.00010310418530190546
box,1.1661295840447063,0.8509612036195626,-0.13645987029419765,-0.1374955988578501,1.138216996775703,0.8669716394883513,1.0509336411434378,0.0,0.0,0.04527038686002643,0.043614684481507224,-6.238224299548456e-05,-7.649681123345076e-05,-6.530614729061135e-05,-7.739728785749467e-05,2.560480082007731e-06,0.014076862564873505,7.739728785749467e-05
box,1.1475417177389278,1.0536279917389773,-0.0010970579843670447,-0.10766610681712621,1.1463328138792885,1.0472155437177872,0.9402061050379097,0.0,0.0,0.04654813258427024,0.04875116096765234,5.0985172468820394e-05,5.095160498025386e-05,5.751076689786139e-05,5.687522028741121e-05,-1.4372331720064468e-06,5.751076689786139e-05,5.687522028741121e-05
box,1.0694933750909095,0.9272069551383192,0.0674815562451023,-0.012686294762456057,1.06732319581452,0.9320063805891892,0.9900347723451628,0.0,0.0,0.045951047636489196,0.04629750434007222,-1.7557778105525834e-05,-1.7761027357621195e-05,-1.8199338282509636e-05,-1.8313737300545974e-05,-1.5365939980539597e-06,1.8199338282509636e-05,1.8313737300545974e-05
box,1.002987944217811,1.1158662929839482,-0.13032144783251806,0.025202721063520783,0.9949089342451727,1.1179829846683718,0.970869982025723,0.0,0.0,0.04617615433924428,0.047211408343097956,8.006635551005559e-06,-7.055638866715341e-06,5.929768760681853e-06,-9.973614731650926e-06,7.644447137552902e-07,5.929768760681853e-06,9.973614731650926e-06
box,0.8788939789183474,1.1232547007254272,-0.0035692684386368356,0.15638250667770215,0.8868705704559089,1.1228093397658594,0.9670393267399995,0.0,0.0,0.04622181504178331,0.04739842310652605,-1.7891926002766567e-05,3.0741757764518596e-05,-3.219811439325593e-05,2.3269547007265245e-05,-1.3550857451160245e-06,3.219811439325593e-05,2.3269547007265245e-05
box,0.8731773298702875,1.185207656049707,0.09629345171475479,-0.0059966410959140515,0.9053386832046877,1.1553400668356657,0.9577112806305208,0.0,0.0,0.04633395565241752,0.04786008069080674,2.123806861331623e-05,2.5374204538408662e-05,1.6550043045349128e-05,1.9971299423549027e-05,-8.699007321268334e-07,1.6550043045349128e-05,0.015353838996859603
box,1.125413625671854,1.0411395620964465,0.04963874047724165,0.13238104406636436,1.1148853100599376,1.057724959264749,0.8986842028654991,0.0,0.0,0.047076726075265994,0.05100361063799918,4.056806944019442e-05,2.995388788940012e-05,3.727057203328776e-05,2.7603912461371394e-05,2.179591122555332e-06,3.727057203328776e-05,2.7603912461371394e-05
box,0.8261081665645166,1.1339952815833603,-0.037819270410803546,-0.05582540284777454,0.8474266950959511,1.1087173341438932,1.038995323630506,0.0,0.0,0.04539987228739027,0.04411582817265221,-6.113586357880951e-05,-6.658980935103642e-05,-6.095655180593518e-05,-6.633355067298119e-05,2.380106682471646e-06,6.095655180593518e-05,0.012415203728587731
box,1.1976107084839938,1.1124762008305513,-0.004628755590531913,-0.02475891314407,1.1904734784832365,1.1135310770880777,0.8873456793893257,0.0,0.0,0.047226397654131315,0.051655335946434275,8.159130595686293e-05,8.341600792305393e-05,8.469301695801512e-05,8.662314737617471e-05,-1.533677207927322e-06,8.469301695801512e-05,8.662314737617471e-05
box,1.1510115623487185,0.8347259488859577,0.06669400221243707,0.09252947958564667,1.1294332384624577,0.8630767581294954,0.9737301653031196,0.0,0.0,0.04614220807845961,0.047072732059403655,-8.726087554322692e-05,-9.275396408736647e-05,-8.776802451959664e-05,-9.302710327285801e-05,-3.4218142853994138e-06,0.008835625695525207,9.302710327285801e-05
box,1.1196785518864458,0.9289146898959327,0.09492453847873739,-0.08789489859978708,1.121605223193926,0.9271798972163076,0.9761822116213685,0.0,0.0,0.04611320489603608,0.04695449130684531,8.026968952212776e-05,8.171629396191982e-05,8.053833097565466e-05,8.18772933275369e-05,-1.278767973395703e-06,8.053833097565466e-05,8.18772933275369e-05
box,0.9449231801938276,0.9669792448817519,0.013251194761652652,-0.1239636270270216,0.9556671088009886,0.9529941467698048,1.063970724718307,0.0,0.0,0.045131067875276536,0.04308026349278359,-5.7624120453514394e-05,-4.7416202696770604e-05,-7.146102075228367e-05,-5.560359157030792e-05,1.0252892151149433e-06,7.146102075228367e-05,0.0045077437104195095
box,0.9627791202557224,0.8001202760427693,0.07820183243116763,0.11260029191496213,0.9537318246397687,0.8206855945589348,1.0694854581398154,0.0,0.0,0.04507277617046124,0.04285812286704356,-6.680098533451417e-05,-5.834548486927105e-05,-5.250682969559772e-05,-4.938203525839402e-05,-1.0138168109020743e-06,5.250682969559772e-05,4.938203525839402e-05
box,0.855572671648079,1.081514307706719,0.10275298828628432,0.15418506331897386,0.8743075161283538,1.0755906909073196,0.9736758146115013,0.0,0.0,0.04614285198077033,0.04707535966451143,-0.00013763328744520464,-7.647822143319605e-05,-0.00012555427568416988,-6.918027877089727e-05,-1.4973848690400377e-06,0.00012555427568416988,6.918027877089727e-05
box,1.1375162249474906,0.9696425941776051,0.15350038672308997,0.15167500955275354,1.1321319166099215,0.9881626790605854,0.8977116870125647,0.0,0.0,0.047089470778167226,0.05105886425741837,-7.85382171034632e-05,-5.563527968499571e-05,-1.0026546518826507e-05,1.4002700257087497e-06,1.80799040506904e-06,1.0026546518826507e-05,1.4002700257087497e-06
